e, e_dot, e_int, stamp, 
-2.356171341164856, 7.718152846170057e-05, -0.26124899667187196, 1731686805035627299, 
-2.3561810768989138, 2.938791373807703e-05, -0.2582417101145632, 1731686805085094184, 
-2.3561990325612725, -9.230465472113518e-05, -0.23567642391964633, 1731686805135651933, 
-2.3561990325612725, -5.985220786245785e-05, -0.11912381668298544, 1731686805135651933, 
-2.3561990325612725, 0.0, -0.0, 1731686805135651933, 
-2.356215303281706, -5.423573477880694e-05, -0.4455842633712548, 1731686805324762968, 
-2.3471330405922664, 0.030219973230020496, -0.5637882995051614, 1731686805375237392, 
-2.3179956966986066, 0.12739868861033177, -0.259406677736604, 1731686805435599302, 
-2.261513449105139, 0.2853986382904239, -0.48715994124117434, 1731686805586231375, 
-2.1786672504963756, 0.46442815400743687, -0.5401766780797677, 1731686805675387366, 
-2.0728367418756757, 0.628922357431545, -0.41051612761201656, 1731686805775321669, 
-2.0728367418756757, 0.3527683620689996, -0.21067286107051827, 1731686805775321669, 
-1.951726438170981, 0.4037010123489826, -0.4286164307714009, 1731686805986206523, 
-1.8251765437358964, 0.8255339937992642, -0.7237166328121725, 1731686806146474917, 
-1.7002676304232685, 0.8381960258257082, -0.4388821556938638, 1731686806226594592, 
-1.5839008931852496, 0.8042521685021561, -0.32132735165653864, 1731686806335145293, 
-1.4728735416635512, 0.7579802958657241, -0.31605831563590764, 1731686806425914870, 
-1.3646333992350952, 0.7308916465005147, -0.3129057294768961, 1731686806547457123, 
-1.256248315300912, 0.7220840878754639, -0.2870609619589163, 1731686806636279885, 
-1.1576495455883373, 0.6899461788225262, -0.2378610316174175, 1731686806736309099, 
-1.0808114858232103, 0.5847894315923393, -0.22145654179643814, 1731686806826387147, 
-1.0194103649930017, 0.4607972686511186, -0.20529954534177122, 1731686806925358500, 
-0.9668072282981548, 0.38001419175018497, -0.1995261492538799, 1731686807021552707, 
-0.9190003703760308, 0.3346999820565699, -0.20458296988211433, 1731686807136615940, 
-0.8737816124218509, 0.31008538625434623, -0.18835840620968727, 1731686807226320582, 
-0.8285686108962489, 0.3014391982659396, -0.16500143564262873, 1731686807325451538, 
-0.7842458940248827, 0.2984523946565609, -0.17360732846839091, 1731686807435772363, 
-0.7433550070045076, 0.2840453463058042, -0.16624288646001023, 1731686807537120799, 
-0.7041536803413251, 0.26697404561185856, -0.1416906153462434, 1731686807626237681, 
-0.6659948192415368, 0.2578672925432361, -0.13333348331273173, 1731686807726380220, 
-0.6271348100501641, 0.25672956763720317, -0.13885565021172885, 1731686807834804462, 
-0.5838511874476189, 0.27381210597972644, -0.11819774965879198, 1731686807915297041, 
-0.5422382420305274, 0.2829885600654558, -0.11197411866263585, 1731686808026407081, 
-0.5008781845727355, 0.27657667624961135, -0.11437128782439154, 1731686808126188678, 
-0.45850478250550397, 0.2791115317500781, -0.09895950606115632, 1731686808224112412, 
-0.41849311984082815, 0.27461688243969107, -0.09570409653372605, 1731686808334561762, 
-0.38057020550049625, 0.25978192335002576, -0.0851673597692536, 1731686808427283976, 
-0.343275468718359, 0.2507255037415638, -0.054379553631558546, 1731686808477372863, 
-0.30644473777866166, 0.2470848924061153, -0.06795589602482263, 1731686808625157979, 
-0.2770450350021352, 0.22076811238741278, -0.07999569605897221, 1731686808736324189, 
-0.2545433324179269, 0.17300468453578244, -0.0561866228707708, 1731686808826295461, 
-0.23393749169921652, 0.14369181100972886, -0.03573404281989754, 1731686808876361429, 
-0.21498935516410222, 0.13184659084608233, -0.04667935489564772, 1731686809025362982, 
-0.19486013069058794, 0.1302578700287619, -0.05151225448826842, 1731686809116404749, 
-0.17951317787612764, 0.11825392429324862, -0.03952165674162653, 1731686809226537874, 
-0.17099669104812776, 0.0795447988082006, -0.029274371021115558, 1731686809277438750, 
-0.16400256597428786, 0.05170203967279926, -0.03428365902726707, 1731686809426437760, 
-0.15371683670240843, 0.057599514485731085, -0.04216979051722067, 1731686809536299412, 
-0.14271871364801836, 0.07094617442089834, -0.030679891693753784, 1731686809626333624, 
-0.13386606750536334, 0.06616923065681697, -0.02725880770389058, 1731686809726343836, 
-0.12581468212650293, 0.05634677173838476, -0.028113815960212445, 1731686809835929947, 
-0.11750567510473786, 0.054534641335418264, -0.026383201553248605, 1731686809936185971, 
-0.10945149320892789, 0.05454396305858348, -0.022388179838937865, 1731686810026320817, 
-0.1014193653451505, 0.05362103253195786, -0.015338371344502411, 1731686810076315089, 
-0.09359625583169429, 0.05285079125744533, -0.020260343150271084, 1731686810225951669, 
-0.08697445787909874, 0.04814969155350587, -0.02443367672106342, 1731686810336256965, 
-0.08034632277819975, 0.044166443511648446, -0.013956736855310688, 1731686810386424941, 
-0.07351145060884523, 0.04487669090084504, -0.015212790118134149, 1731686810525759716, 
-0.06794451935559787, 0.04133934474200629, -0.018481141721057498, 1731686810636392714, 
-0.06365860172779003, 0.03284282960351733, -0.01301050801145056, 1731686810716051043, 
-0.059805798892945905, 0.027129068208839868, -0.009580231779850481, 1731686810786546089, 
-0.05713064700379089, 0.021759849079997135, -0.01385871929807304, 1731686810946268640, 
-0.05374878911369407, 0.020190032597506107, -0.0136305531068189, 1731686811026119590, 
-0.04966977261683603, 0.024869581289849545, -0.00909619413426932, 1731686811116238848, 
-0.04602205352076849, 0.02575578530975194, -0.00996944272288159, 1731686811226254795, 
-0.04602205352076849, 0.012159063653558455, -0.005196928891219981, 1731686811226254795, 
-0.04270470750365973, 0.011057820057029192, -0.009012901557524263, 1731686811426914851, 
-0.04162910803400521, 0.01464315162254426, -0.013475168622286558, 1731686811536371295, 
-0.04206999611111151, 0.0021157046418274206, -0.008404322429542341, 1731686811626378514, 
-0.041180713367687805, 0.001494648887724696, -0.007907655789162448, 1731686811726337679, 
-0.03973880029183974, 0.007770652730905899, -0.00804234123402413, 1731686811822549909, 
-0.03932068210525186, 0.0062001042081198205, -0.008459970274518388, 1731686811937414438, 
-0.03812000079074185, 0.005395998336992965, -0.007958538252486578, 1731686812026302427, 
-0.03693460381985725, 0.007953594284648702, -0.007201831392293518, 1731686812126314460, 
-0.03613104327447525, 0.006629858387555328, -0.007782095378259341, 1731686812236278144, 
-0.03381499984706249, 0.010398679909315867, -0.007522971756844009, 1731686812337474440, 
-0.03166353131582822, 0.014891706528823434, -0.006436300625326128, 1731686812426308483, 
-0.02963138909148988, 0.01394536918524203, -0.00598713314802372, 1731686812526323294, 
-0.027637903043267187, 0.013418760908536775, -0.005856736839339098, 1731686812623875701, 
-0.02532579461727691, 0.014351981580709902, -0.005715720167102968, 1731686812733928385, 
-0.02345292166779611, 0.013949937918236918, -0.00515651511976938, 1731686812826312625, 
-0.022013950350561196, 0.011039480889052378, -0.004526251848638109, 1731686812925738585, 
-0.019803907352696992, 0.012163381050330399, -0.004563303977575943, 1731686813036052911, 
-0.017280477462220833, 0.01577824296113454, -0.004128600652615084, 1731686813135318126, 
-0.01713112382448001, 0.00890927842738994, -0.0034566118953230857, 1731686813227323563, 
-0.018520136252714536, -0.004132195968312343, -0.003371455475257489, 1731686813326401338, 
-0.018671300964718363, -0.005133923800794508, -0.0036012878740465516, 1731686813426207110, 
-0.015527200889923876, 0.009976451209302203, -0.003694333496130656, 1731686813536630602, 
-0.01290885514480733, 0.019208152733036776, -0.003142321309762207, 1731686813626323706, 
-0.012654236476837166, 0.009576548043622365, -0.002598432306259717, 1731686813726342002, 
